POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
,,,,,,,,,,,,,,,,6.1,10.507M,Ohio StateMichigan,Big Ten,"Nov. 25, Noon",FOX,2017
,,,,,,,,,,,,,,,,3.0,5.263M(5.332M),Notre DameStanford,IndPac-12,"Nov. 25, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.7,4.644M(4.700M),USFUCF,American,"Nov. 24, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.8,4.562M(4.663M),MiamiPittsburgh,ACC,"Nov. 24, Noon",ABC,2017
,,,,,,,,,,,,,,,,2.2,(4.032M),ClemsonSo. Carolina,ACCSEC,"Nov. 25, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.1,3.609M,Texas TechTexas,Big 12,"Nov. 24, 8:15 PM",FOX,2017
,,,,,,,,,,,,,,,,1.7,2.766M,GeorgiaGa. Tech,SECACC,"Nov. 25, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.5,2.600M,WisconsinMinnesota,Big Ten,"Nov. 25, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,n.a.,2.502M,MissouriArkansas,SEC,"Nov. 24, 2:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.2,(2.468M),MississippiMiss. St.,SEC,"Nov. 23, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.3,2.390M,Wash. St.Washington,Pac-12,"Nov. 25, 8:00 PM",FOX,2017
,,,,,,,,,,,,,,,,n.a.,(2.291M),College GamedayFrom Iron Bowl,College GamedayFrom Iron Bowl,"Nov. 25, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.25,(2.144M),Virginia TechVirginia,ACC,"Nov. 24, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.2,(2.056M),FSUFlorida,ACCSEC,"Nov. 25, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.2,2.012M,Michigan St.Rutgers,Big Ten,"Nov. 25, 4:15 PM",FOX,2017
,,,,,,,,,,,,,,,,1.1,(1.898M),West VirginiaOklahoma,Big 12,"Nov. 25, 3:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,1.400M,IowaNebraska,Big Ten,"Nov. 25, 4:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(847K),CFP Rankings Show,CFP Rankings Show,"Nov. 21, 7:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,0.40,(738K),Oregon St.Oregon,Pac-12,"Nov. 25, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(699K),NavyHouston,American,"Nov. 24, Noon",ESPN,2017
,,,,,,,,,,,,,,,,0.31,(498K),Iowa St.K-State,Big 12,"Nov. 25, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.31,(494K),CalUCLA,Pac-12,"Nov. 24, 10:30 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(472K),BaylorTCU,Big 12,"Nov. 24, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.22,343K,KansasOklahoma St.,Big 12,"Nov. 25, Noon",FS1,2017
