POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
,,,,,,,,,,,,,,,,n.a.,294K,SJSUUtah,MWCPac-12,"Sept. 16, 10:15 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,286K,UConnVirginia,AmericanACC,"Sept. 16, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,215K,UMassTemple,MACAmerican,"Sept. 15, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,195K,KansasOhio,Big 12MAC,"Sept. 16, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,4K,Beth-CookmanFAU,FCSC-USA,"Sept. 16, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,2017
,,,,,,,,,,,,,,,,4.6,8.081M(8.255M),OklahomaOhio State,Big 12Big Ten,"Sept. 9, 7:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.4,4.088M,GeorgiaNotre Dame,SECIND,"Sept. 9, 7:30 PM",NBC,2017
,,,,,,,,,,,,,,,,2.4,3.701M(3.742M),PittsburghPenn State,ACCBig Ten,"Sept. 9, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.4,3.611M(3.693M),CincinnatiMichigan,AmericanBig Ten,"Sept. 9, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.8,3.361M(3.504M),AuburnClemson,SECACC,"Sept. 9, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.5,2.587M,NebraskaOregon,Big TenPac-12,"Sept. 9, 4:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.5,2.345M,TCUArkansas,Big 12SEC,"Sept. 9, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.5,2.263M,LouisvilleUNC,ACC,"Sept. 9, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.2,2.070M,Fresno St.Alabama,MWCSEC,"Sept. 9, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,1.2,2.069M,StanfordUSC,Pac-12,"Sept. 9, 8:30 PM",FOX,2017
,,,,,,,,,,,,,,,,n.a.,1.584M,College GamedayFrom Oklahoma-OSU,College GamedayFrom Oklahoma-OSU,"Sept. 9, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,0.8,1.406M,IowaIowa State,Big TenBig 12,"Sept. 9, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.75,1.265M,Boise StateWashington St.,MWCPac-12,"Sept. 9, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.6,966K,Oklahoma St.So. Alabama,Big 12Sun Belt,"Sept. 8, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.45,802K,S. CarolinaMissouri,SEC,"Sept. 9, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.37,668K,UtahBYU,Pac-12Ind.,"Sept. 9, 10:20 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.24,410K,MinnesotaOregon St.,Big TenPac-12,"Sept. 9, 10:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,403K,OhioPurdue,MACBig Ten,"Sept. 8, 8:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,358K,IndianaVirginia,Big TenACC,"Sept. 9, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,353K,Nicholls St.Texas A&M,FCSSEC,"Sept. 9, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,242K,HoustonArizona,AmericanPac-12,"Sept. 9, 10:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,239K,ECUW. Virginia,AmericanBig 12,"Sept. 9, Noon",FS2,2017
,,,,,,,,,,,,,,,,n.a.,161K,NorthwesternDuke,Big TenACC,"Sept. 9, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,120K,Sam Hou. St.Pr. View A&M,FCS,"Sept. 7, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,2017
,,,,,,,,,,,,,,,,6.9,12.335M(12.557M),AlabamaFSU,SECACC,"Sept. 2, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,4.9,7.650M(7.805M),MichiganFlorida,Big TenSEC,"Sept. 2, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.9,5.134M(5.268M),TennesseeGa. Tech,SECACC,"Sept. 4, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,3.0,5.126M(5.428M),Ohio StateIndiana,Big Ten,"Aug. 31, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.7,4.645M(4.737M),W. VirginiaVirginia Tech,Big 12ACC,"Sept. 3, 7:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.9,3.190M,Texas A&MUCLA,SECPac-12,"Sept. 3, 7:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.5,2.332M,AkronPenn State,MACBig Ten,"Sept. 2, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.2,2.046M(2.081M),MarylandTexas,Big TenBig 12,"Sept. 2, Noon",FS1,2017
,,,,,,,,,,,,,,,,n.a.,2.045M,College GamedayFrom Alabama-FSU,College GamedayFrom Alabama-FSU,"Sept. 2, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.1,1.792M,PurdueLouisville,Big TenACC,"Sept. 2, 7:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.0,1.763M,BYULSU,Ind.SEC,"Sept. 2, 9:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.1,1.760M,Utah St.Wisconsin,MWCBig Ten,"Sept. 1, 9:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.9,1.718M,App. StateGeorgia,Sun BeltSEC,"Sept. 2, 6:53 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,1.629M,Kent StateClemson,MACACC,"Sept. 2, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.0,1.580M,TempleNotre Dame,AmericanInd.,"Sept. 2, 3:30 PM",NBC,2017
,,,,,,,,,,,,,,,,0.9,1.558M,N.C. StateSo. Carolina,ACCSEC,"Sept. 2, 3:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.7,1.111M,UTEPOklahoma,C-USABig 12,"Sept. 2, 3:30 PM",FOX,2017
,,,,,,,,,,,,,,,,0.6,971K,WashingtonRutgers,Pac-12Big Ten,"Sept. 1, 8:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,537K,Bowling GreenMichigan St.,MACBig Ten,"Sept. 2, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,444K,NavyFla. Atlantic,AmericanC-USA,"Sept. 1, 8:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,0.24,436K,Montana St.Washington St.,FCSPac-12,"Sept. 2, 11:30 PM",FS1,2017
,,,,,,,,,,,,,,,,0.30,428K,S.C. StateSouthern,FCS,"Sept. 3, 2:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,382K,TulsaOklahoma St.,Big 12,"Aug. 31, 7:30 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,194K,TroyBoise St.,Sun BeltMWC,"Sept. 2, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,161K,So. AlabamaMississippi,Sun BeltSEC,"Sept. 2, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,137K,LibertyBaylor,FCSBig 12,"Sept. 2, 7:00 PM",FS2,2017
,,,,,,,,,,,,,,,,WEEK ZERO,WEEK ZERO,WEEK ZERO,WEEK ZERO,WEEK ZERO,WEEK ZERO,2017
,,,,,,,,,,,,,,,,0.6,939K,Portland StateBYU,FCSIND,"Aug. 26, 3:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.44,725K,ChattanoogaJacksonville St.,FCS,"Aug. 26, 6:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.41,653K,StanfordRice,Pac-12C-USA,"Aug. 26, 10:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,228K,Texas SouthernFAMU,FCS,"Aug. 26, 12:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,190K,ColgateCal Poly,FCS,"Aug. 26, 7:00 PM",ESPNU,2017
