Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2008,Arkansas,3,3,197,157,40,32.8333333333333,26.1666666666667,68739.6666666667
2008,Arkansas State,4,1,203,94,109,40.6,18.8,21105
2008,Ball State,6,0,252,109,143,42,18.1666666666667,19200.6666666667
2008,Baylor,4,3,230,175,55,32.8571428571429,25,34121.4285714286
2008,Boise State,6,0,244,48,196,40.6666666666667,8,32274.8333333333
2008,Boston College,5,2,186,97,89,26.5714285714286,13.8571428571429,41036.8571428571
2008,Buffalo,4,2,185,144,41,30.8333333333333,24,16924.1666666667
2008,BYU,6,0,248,67,181,41.3333333333333,11.1666666666667,64102.1666666667
2008,California,7,0,256,111,145,36.5714285714286,15.8571428571429,61632.1428571429
2008,Clemson,4,2,191,74,117,31.8333333333333,12.3333333333333,78614.8333333333
2008,Colorado,4,2,121,143,-22,20.1666666666667,23.8333333333333,49476.3333333333
2008,FIU,3,2,,,,,,13852.2
2008,Florida State,4,3,249,128,121,35.5714285714286,18.2857142857143,77967.5714285714
2008,Georgia Tech,6,1,205,103,102,29.2857142857143,14.7142857142857,47488.5714285714
2008,Hawaii,5,3,233,187,46,29.125,23.375,41010.125
2008,Illinois,4,2,189,132,57,31.5,22,61707.1666666667
2008,Indiana,3,5,294,216,78,36.75,27,31781.875
2008,Iowa State,2,4,253,186,67,42.1666666666667,31,47428.5
2008,Kansas,5,2,283,127,156,40.4285714285714,18.1428571428571,50907.2857142857
2008,Kansas State,4,3,288,255,33,41.1428571428572,36.4285714285714,45189.5714285714
2008,Kent State,2,3,163,101,62,32.6,20.2,10608.6
2008,Louisiana,4,1,187,135,52,37.4,27,21468.4
2008,Louisiana Tech,5,1,223,162,61,37.1666666666667,27,18020.1666666667
2008,Marshall,3,3,,,,,,24765.5
2008,Memphis,4,3,225,168,57,32.1428571428572,24,25003.4285714286
2008,Miami (OH),1,5,124,215,-91,20.6666666666667,35.8333333333333,15435.1666666667
2008,Michigan State,6,1,218,66,152,31.1428571428571,9.42857142857143,74857.8571428572
2008,Middle Tennessee,4,1,131,92,39,26.2,18.4,20227
2008,Missouri,5,1,285,93,192,47.5,15.5,64518.3333333333
2008,NC State,4,3,181,198,-17,25.8571428571429,28.2857142857143,56665.4285714286
2008,Nebraska,6,2,284,216,68,35.5,27,85070.5
2008,Nevada,3,3,239,164,75,39.8333333333333,27.3333333333333,19043.1666666667
2008,New Mexico,3,3,194,82,112,32.3333333333333,13.6666666666667,29712.5
2008,Northern Illinois,4,2,165,,,27.5,,18188
2008,Northwestern,5,2,184,143,41,26.2857142857143,20.4285714285714,28590.2857142857
2008,Notre Dame,4,2,178,132,46,29.6666666666667,22,80795
2008,Ohio,2,3,179,144,35,35.8,28.8,15276
